序号,设备,数量,量纲,配置详情
1,推荐组合一（鲲鹏 + 银河麒麟 + openGauss）,1,套,适用于铁路电务智能化数据中台首期建设，建议软件组合：RocketMQ + Flink + Spark + MPP分析型存储；按约30个系统接入、年规模200T进行首期规划。
2,管理/接入节点,2,台,每台：2×32核鲲鹏CPU、128GB内存、2×480GB SSD系统盘、2×960GB SSD数据盘、双万兆网口；用于统一采集、调度管理、任务编排。
3,消息总线节点,3,台,每台：2×32核鲲鹏CPU、256GB内存、2×960GB SSD系统盘、4×3.84TB NVMe数据盘、2×25GbE网口；用于RocketMQ/Pulsar高可用部署。
4,实时计算节点,4,台,每台：2×32核鲲鹏CPU、256GB内存、2×960GB SSD系统盘、4×3.84TB NVMe数据盘、2×25GbE网口；用于Flink实时处理、指标计算与告警联动。
5,批量计算节点,4,台,每台：2×48核鲲鹏CPU、256GB内存、2×960GB SSD系统盘、8×3.84TB NVMe数据盘、2×25GbE网口；用于Spark离线加工、历史补录和专题分析。
6,关系数据库节点,2,台,每台：2×32核鲲鹏CPU、256GB内存、2×960GB SSD系统盘、6×3.84TB NVMe数据盘、双万兆网口；用于openGauss主备/集群部署，承载主数据、配置和共享服务库。
7,分析型存储节点,6,台,每台：2×48核鲲鹏CPU、512GB内存、2×960GB SSD系统盘、12×16TB企业级SAS/NL-SAS数据盘、2×25GbE网口；用于ODS/DWD/DWS/ADS分析存储。
8,服务治理节点,2,台,每台：2×24核鲲鹏CPU、128GB内存、2×480GB SSD系统盘、2×1.92TB SSD数据盘、双万兆网口；用于元数据、血缘、质量、API网关和BI服务。
9,监控审计节点,2,台,每台：2×16核鲲鹏CPU、64GB内存、2×480GB SSD系统盘、2×1.92TB SSD数据盘、双万兆网口；用于日志审计、统一监控、链路追踪和告警。
10,备份归档存储,1,套,建议可用容量不少于300TB，支持对象/归档存储、快照与备份恢复；与在线生产存储分层建设。
11,数据中心交换机,2,台,25GbE ToR交换机，支持链路冗余、VLAN隔离和高可用部署；承载存储、计算、消息总线高速互联。
12,推荐组合二（海光 + 统信UOS + OceanBase）,1,套,适用于兼顾分布式数据库与信创适配场景，建议软件组合：RocketMQ + Flink + Spark + 湖仓/MPP分析引擎；按同等容量与高可用要求规划。
13,管理/接入节点,2,台,每台：2×32核海光CPU、128GB内存、2×480GB SSD系统盘、2×960GB SSD数据盘、双万兆网口；用于统一采集、调度管理、任务编排。
14,消息总线节点,3,台,每台：2×32核海光CPU、256GB内存、2×960GB SSD系统盘、4×3.84TB NVMe数据盘、2×25GbE网口；用于RocketMQ/Pulsar高可用部署。
15,实时计算节点,4,台,每台：2×32核海光CPU、256GB内存、2×960GB SSD系统盘、4×3.84TB NVMe数据盘、2×25GbE网口；用于Flink实时处理、指标计算与告警联动。
16,批量计算节点,4,台,每台：2×48核海光CPU、256GB内存、2×960GB SSD系统盘、8×3.84TB NVMe数据盘、2×25GbE网口；用于Spark离线加工、历史补录和专题分析。
17,分布式数据库节点,3,台,每台：2×32核海光CPU、256GB内存、2×960GB SSD系统盘、6×3.84TB NVMe数据盘、双万兆网口；用于OceanBase三节点高可用部署。
18,分析型存储节点,6,台,每台：2×48核海光CPU、512GB内存、2×960GB SSD系统盘、12×16TB企业级SAS/NL-SAS数据盘、2×25GbE网口；用于ODS/DWD/DWS/ADS分析存储。
19,服务治理节点,2,台,每台：2×24核海光CPU、128GB内存、2×480GB SSD系统盘、2×1.92TB SSD数据盘、双万兆网口；用于元数据、血缘、质量、API网关和BI服务。
20,监控审计节点,2,台,每台：2×16核海光CPU、64GB内存、2×480GB SSD系统盘、2×1.92TB SSD数据盘、双万兆网口；用于日志审计、统一监控、链路追踪和告警。
21,备份归档存储,1,套,建议可用容量不少于300TB，支持对象/归档存储、快照与备份恢复；与在线生产存储分层建设。
22,数据中心交换机,2,台,25GbE ToR交换机，支持链路冗余、VLAN隔离和高可用部署；承载存储、计算、消息总线高速互联。
23,推荐组合三（飞腾 + 银河麒麟 + 达梦）,1,套,适用于强调国产软硬件一体化场景，建议软件组合：RocketMQ + Flink + Spark + 国产兼容MPP分析引擎；按同等容量与高可用要求规划。
24,管理/接入节点,2,台,每台：2×32核飞腾CPU、128GB内存、2×480GB SSD系统盘、2×960GB SSD数据盘、双万兆网口；用于统一采集、调度管理、任务编排。
25,消息总线节点,3,台,每台：2×32核飞腾CPU、256GB内存、2×960GB SSD系统盘、4×3.84TB NVMe数据盘、2×25GbE网口；用于RocketMQ/Pulsar高可用部署。
26,实时计算节点,4,台,每台：2×32核飞腾CPU、256GB内存、2×960GB SSD系统盘、4×3.84TB NVMe数据盘、2×25GbE网口；用于Flink实时处理、指标计算与告警联动。
27,批量计算节点,4,台,每台：2×48核飞腾CPU、256GB内存、2×960GB SSD系统盘、8×3.84TB NVMe数据盘、2×25GbE网口；用于Spark离线加工、历史补录和专题分析。
28,关系数据库节点,2,台,每台：2×32核飞腾CPU、256GB内存、2×960GB SSD系统盘、6×3.84TB NVMe数据盘、双万兆网口；用于达梦主备/集群部署，承载主数据、配置和共享服务库。
29,分析型存储节点,6,台,每台：2×48核飞腾CPU、512GB内存、2×960GB SSD系统盘、12×16TB企业级SAS/NL-SAS数据盘、2×25GbE网口；用于ODS/DWD/DWS/ADS分析存储。
30,服务治理节点,2,台,每台：2×24核飞腾CPU、128GB内存、2×480GB SSD系统盘、2×1.92TB SSD数据盘、双万兆网口；用于元数据、血缘、质量、API网关和BI服务。
31,监控审计节点,2,台,每台：2×16核飞腾CPU、64GB内存、2×480GB SSD系统盘、2×1.92TB SSD数据盘、双万兆网口；用于日志审计、统一监控、链路追踪和告警。
32,备份归档存储,1,套,建议可用容量不少于300TB，支持对象/归档存储、快照与备份恢复；与在线生产存储分层建设。
33,数据中心交换机,2,台,25GbE ToR交换机，支持链路冗余、VLAN隔离和高可用部署；承载存储、计算、消息总线高速互联。
