序号,建设层级/能力域,现有配置,新增设备/软件,建设方式,主要用途,备注
1,数据采集层,现有业务系统接口、数据库及设备接入链路（利旧）,统一采集服务、CDC采集组件、文件/API同步组件,现有配置+新增设备,统一接入约30个业务系统,接入前完成字段映射、质量校验和主数据比对
2,实时传输层,现有网络与基础交换环境（利旧）,消息总线集群（RocketMQ/Pulsar或同类信创适配产品）,现有配置+新增设备,支撑实时分发、削峰填谷、顺序消费和重试补偿,按高可用方式部署
3,存储计算层-关系型数据库,现有信创数据库资源（如已有可利旧实例）,共享服务库、主数据库、配置库实例扩容,现有配置+新增设备,承载主数据、配置数据和共享服务库,优先采用openGauss、OceanBase、达梦等兼容产品
4,存储计算层-分析型存储,现有通用存储资源（待核实）,MPP/湖仓一体分析存储集群,现有配置+新增设备,承载明细、主题、汇总分析数据,支持横向扩展
5,存储计算层-对象/归档存储,现有备份存储或NAS资源（待核实）,对象存储或归档存储资源,现有配置+新增设备,承载历史冷数据、备份数据和长期归档,建议与在线存储分层建设
6,实时计算层,现有计算服务器资源（待核实）,流处理引擎集群（Flink类或同类信创适配产品）,现有配置+新增设备,支撑实时清洗、维表关联、指标计算和告警匹配,支持任务高可用和故障自动恢复
7,批量计算层,现有计算服务器资源（待核实）,批量计算引擎（Spark类或国产兼容发行版）,现有配置+新增设备,支撑离线加工、历史补录和专题分析,与实时链路解耦
8,数据治理层,现有数据标准、主数据基础（如有）,元数据、血缘、质量管理平台,现有配置+新增设备,统一管理标准、血缘、质量和安全,纳入统一监控和变更管理
9,服务层,现有业务门户与接口能力（如有）,API网关、BI报表平台、主题数据服务模块,现有配置+新增设备,对内对外提供共享API、报表查询和实时指标服务,与权限体系联动
10,运维安全层,现有监控、日志和安全设施（利旧）,统一监控告警、日志审计、链路追踪和资源管理平台,现有配置+新增设备,保障平台持续稳定运行并满足审计要求,覆盖查询、下载、共享和变更审计
11,容灾备份,现有备份策略和机房资源（待核实）,备份存储、灾备环境及演练资源,现有配置+新增设备,满足备份恢复、双机/集群高可用和灾备要求,建议形成常态化演练机制
12,信创适配与PoC,现有国产CPU、国产OS环境（如已部署）,兼容性验证环境、适配清单、PoC测试资源,现有配置+新增设备,验证关键组件在国产CPU+OS+数据库组合下的兼容性,重点验证写入性能、实时延迟和故障切换
13,容量补充,现有在线与备份存储资源（待核实）,在线生产存储不少于300T、备份与归档存储不少于300T,现有配置+新增设备,满足年规模200T的中长期容量规划,建议首期预留600T级别空间并支持横向扩容
